{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537240.057519, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537242.541224, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537243.847868, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537245.050223, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537247.590411, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537248.804523, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537251.342512, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537252.556407, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537255.068114, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537257.584612, 'bid': '111.08', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537258.795123, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537261.372593, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537262.624144, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.98'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537265.075806, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537266.340444, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537267.598996, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537270.105444, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537271.361636, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537273.864604, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537275.113194, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.96'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537276.340193, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.96'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537278.880444, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.96'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537280.138123, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537281.367689, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537284.334944, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537285.102244, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.95'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537287.607651, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.95'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537288.870982, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.95'}
{'volume': '9083.88736764', 'last': '111.06', 'timestamp': 1377537291.377851, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.95'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537292.606986, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537293.841242, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537296.374305, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537297.576344, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537300.101742, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.97'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537301.356996, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '112.00'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537302.695294, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537305.185428, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537306.380817, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537308.852209, 'bid': '111.12', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537310.083748, 'bid': '111.12', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537312.607128, 'bid': '111.12', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537313.954609, 'bid': '111.12', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537315.117699, 'bid': '111.12', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537317.623848, 'bid': '111.11', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9078.98736764', 'last': '111.06', 'timestamp': 1377537323.863901, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537325.188481, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537327.624948, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537328.905851, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537331.162517, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537332.244258, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
